id,term,part_of_speech,definition,pronunciation,synonyms,example,topic,subtopic,category,source_url
IELTS-VOCAB-0101,ventilators,noun (plural),Medical devices designed to deliver breathable air into the lungs of patients unable to breathe.,,,Biomedical engineering companies surged production of mechanical ventilators to assist critically ill patients in intensive care.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0102,vigorous action,noun phrase,"Decisive, forceful, and energetic measures implemented to solve a crisis.",,,Public health leaders argued that vigorous action taken early during an epidemic saves thousands of lives.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0103,vulnerable person,noun phrase,An individual at elevated risk of severe illness or harm due to age or preexisting health conditions.,,,Community outreach charities delivered grocery hampers directly to every vulnerable person sheltering alone at home.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0104,wheezing,noun,A high-pitched whistling sound during breathing caused by narrowed airways.,,,"Clinical auscultation detected severe lung wheezing, signaling bronchial airway constriction in the infected patient.",Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0105,zoonotic,adjective,Relating to a disease that can be transmitted from animals to humans.,,,Virological surveillance indicates that many emerging infectious diseases originate as zoonotic transmissions from animal hosts.,Coronavirus,High Level Coronavirus Vocabulary & Pronunciation,Detailed Lists for Word Power,https://ieltsliz.com/coronavirus-vocabulary-pronunciation/
IELTS-VOCAB-0106,fine,noun,A judicial penalty or correctional sanction: fine.,,,The magistrate determined that imposing a fine was the most proportionate legal sanction for the convicted offender.,Crime & Punishment,Minor Crimes / Offences,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0107,harsh punishment,noun,A judicial penalty or correctional sanction: harsh punishment.,,,The magistrate determined that imposing a harsh punishment was the most proportionate legal sanction for the convicted offender.,Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0108,prison sentence,noun,A judicial penalty or correctional sanction: prison sentence.,,,The magistrate determined that imposing a prison sentence was the most proportionate legal sanction for the convicted offender.,Crime & Punishment,Minor Crimes / Offences,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0109,suspended sentence,noun,A judicial penalty or correctional sanction: suspended sentence.,,,The magistrate determined that imposing a suspended sentence was the most proportionate legal sanction for the convicted offender.,Crime & Punishment,Minor Crimes / Offences,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0110,abduction,noun,An illegal act or statutory offense: abduction.,,"kidnapping, seizure, snatching",Criminologists investigate whether proactive community policing and targeted social intervention can effectively deter abduction.,Crime & Punishment,Major Crimes,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0111,armed police,noun (plural),Police personnel equipped with firearms for specialized defensive operations.,,,"During high-risk armed sieges, specialized armed police are deployed to neutralize violent threats safely.",Crime & Punishment,Other Useful Crime & Punishment Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0112,arson,noun,An illegal act or statutory offense: arson.,,"incendiarism, malicious fire-raising",Criminologists investigate whether proactive community policing and targeted social intervention can effectively deter arson.,Crime & Punishment,Major Crimes,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0113,assault,noun,An illegal act or statutory offense: assault.,,,Criminologists investigate whether proactive community policing and targeted social intervention can effectively deter assault.,Crime & Punishment,Major Crimes,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0114,burglary,noun,An illegal act or statutory offense: burglary.,,"break-in, housebreaking, unlawful entry",Criminologists investigate whether proactive community policing and targeted social intervention can effectively deter burglary.,Crime & Punishment,Major Crimes,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0115,child abuse,noun,An illegal act or statutory offense: child abuse.,,,Criminologists investigate whether proactive community policing and targeted social intervention can effectively deter child abuse.,Crime & Punishment,Major Crimes,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0116,circumstances of the crime,noun,A core legal doctrine or evidentiary standard: circumstances of the crime.,,,"In a court of law, legal counsel must rigorously evaluate every piece of circumstances of the crime before reaching a definitive conclusion.",Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0117,circumstantial,adjective,Pointing indirectly toward someone's guilt without providing direct observation.,,,The defense attorney argued that the prosecution's case was largely circumstantial and lacked eyewitness proof.,Crime & Punishment,Other Useful Crime & Punishment Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0118,circumstantial evidence,noun,A core legal doctrine or evidentiary standard: circumstantial evidence.,,,"In a court of law, legal counsel must rigorously evaluate every piece of circumstantial evidence before reaching a definitive conclusion.",Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0119,verdict,noun,A core legal doctrine or evidentiary standard: verdict.,,,"In a court of law, legal counsel must rigorously evaluate every piece of verdict before reaching a definitive conclusion.",Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0120,corporal punishment,noun,A judicial penalty or correctional sanction: corporal punishment.,,,The magistrate determined that imposing a corporal punishment was the most proportionate legal sanction for the convicted offender.,Crime & Punishment,Other Useful Crime & Punishment Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0122,court,noun,An official authority or participant in judicial proceedings: court.,,,"During formal criminal proceedings, the testimony and impartiality of the court are vital for ensuring a fair trial.",Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0123,crime,noun,An illegal act or statutory offense: crime.,,,Criminologists investigate whether proactive community policing and targeted social intervention can effectively deter crime.,Crime & Punishment,Minor Crimes / Offences,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0124,crime is prevalent,noun,A behavioral or societal factor examined in criminology: crime is prevalent.,,,Sociological research indicates that adolescents exposed to persistent crime is prevalent face a significantly heightened risk of offending.,Crime & Punishment,Other Useful Crime & Punishment Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0125,death penalty,noun,A judicial penalty or correctional sanction: death penalty.,,,The magistrate determined that imposing a death penalty was the most proportionate legal sanction for the convicted offender.,Crime & Punishment,Other Useful Crime & Punishment Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0126,defendant,noun,An official authority or participant in judicial proceedings: defendant.,,,"During formal criminal proceedings, the testimony and impartiality of the defendant are vital for ensuring a fair trial.",Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0127,defense,noun,An official authority or participant in judicial proceedings: defense.,,,"During formal criminal proceedings, the testimony and impartiality of the defense are vital for ensuring a fair trial.",Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0128,detention,noun,A judicial penalty or correctional sanction: detention.,,,The magistrate determined that imposing a detention was the most proportionate legal sanction for the convicted offender.,Crime & Punishment,Other Types of Punishment,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0129,diminished responsibility,noun,A core legal doctrine or evidentiary standard: diminished responsibility.,,,"In a court of law, legal counsel must rigorously evaluate every piece of diminished responsibility before reaching a definitive conclusion.",Crime & Punishment,Other Useful Crime & Punishment Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
IELTS-VOCAB-0130,discrimination,noun,A behavioral or societal factor examined in criminology: discrimination.,,,Sociological research indicates that adolescents exposed to persistent discrimination face a significantly heightened risk of offending.,Crime & Punishment,Other Useful Crime & Punishment Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/crime-and-punishment-vocabulary/
